ID	Day	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
C1R	Field sample	C1R	cDNA	C			Field sample											
C2R	Field sample	C2R	cDNA	C			Field sample											
C3R	Field sample	C3R	cDNA	C			Field sample											
D0.01R	0	D0.01R	cDNA	D0(1.0kPa+N)	D0(1.0kPa+N)_	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA		Urea_1.0kPa			1
D0.02R	0	D0.02R	cDNA	D0(1.0kPa+N)	D0(1.0kPa+N)_	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA			Urea_1.0kPa		1
D0.03R	0	D0.03R	cDNA	D0(1.0kPa+N)	D0(1.0kPa+N)_	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA				Urea_1.0kPa	1
D0.05R	0	D0.05R	cDNA	D0(10kPa+N)	D0(10kPa+N)_	0	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA		Urea_10kPa			1
D0.07R	0	D0.07R	cDNA	D0(10kPa+N)	D0(10kPa+N)_	0	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA			Urea_10kPa		1
D0.08R	0	D0.08R	cDNA	D0(10kPa+N)	D0(10kPa+N)_	0	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA				Urea_10kPa	1
D0.09R	0	D0.09R	cDNA	D0(1.0kPa-N)	D0(1.0kPa-N)_	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA		No_Urea_1.0kPa			1
D0.10R	0	D0.10R	cDNA	D0(1.0kPa-N)	D0(1.0kPa-N)_	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA			No_Urea_1.0kPa		1
D0.11R	0	D0.11R	cDNA	D0(1.0kPa-N)	D0(1.0kPa-N)_	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA				No_Urea_1.0kPa	1
D0.13R	0	D0.13R	cDNA	D0(10kPa-N)	D0(10kPa-N)_	0	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA		No_Urea_10kPa			1
