ID	Day	pH	NH4-N	NO3-N	NO2-N	Moisture	N2O-N	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	16S	nosZI	nirS	AOB	AOA	nifH	nosZI_P	nirS_P	AOB_P	AOA_P	nifH_P	Group_DNA	Group_cDNA	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
C1R	Field sample							C1R	cDNA	C			Field sample																								
C2R	Field sample							C2R	cDNA	C			Field sample																								
C3R	Field sample							C3R	cDNA	C			Field sample																								
D0.01R	0	6.67	271.6	39.4	0.019604047	47.7	17.75921616	D0.01R	cDNA	D0(1.0kPa+N)	D0(1.0kPa+N)_	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA		9808714.25	832.8946686	4656.578491	946.9526672	9178.746094	4461.376099	0.008491375	0.047473893	0.009654198	0.093577465	0.045483801			Urea_1.0kPa			1
D0.02R	0	6.72	349.8	37.7	0	48.7	33.11153016	D0.02R	cDNA	D0(1.0kPa+N)	D0(1.0kPa+N)_	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA		16045786	960.8659668	6946.547119	1198.299072	7550.392334	7281.913452	0.005988276	0.043292034	0.007467999	0.047055298	0.045382093				Urea_1.0kPa		1
D0.03R	0	6.54	247.4	36.5	0.012164882	47.5	54.59774664	D0.03R	cDNA	D0(1.0kPa+N)	D0(1.0kPa+N)_	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA		19247613	1410.83728	10466.04407	1725.137329	9165.910645	8458.814941	0.007329934	0.054375803	0.008962864	0.047621025	0.043947345					Urea_1.0kPa	1
D0.05R	0	6.7	370.6	48.4	0	31.2	33.53050642	D0.05R	cDNA	D0(10kPa+N)	D0(10kPa+N)_	0	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA		11599245.75	268.6856918	5586.840088	654.91539	3232.80777	1657.878876	0.002316407	0.048165546	0.00564619	0.027870845	0.014292989			Urea_10kPa			1
D0.07R	0	6.67	393.4	39.2	0	34	33.6062973	D0.07R	cDNA	D0(10kPa+N)	D0(10kPa+N)_	0	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA		20722519	1085.577217	10057.48926	2335.419678	7458.793457	7435.835571	0.005238635	0.048534106	0.01126996	0.035993662	0.035882875				Urea_10kPa		1
D0.08R	0	6.6	401.5	47.8	0	31.4	33.45471554	D0.08R	cDNA	D0(10kPa+N)	D0(10kPa+N)_	0	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA		14844023.75	1179.619171	5435.277344	1534.069305	12672.21729	4899.571899	0.007946762	0.03661593	0.010334592	0.085369153	0.033007034					Urea_10kPa	1
D0.09R	0	5.7	2.7	35.1	0	51.3	28.34259088	D0.09R	cDNA	D0(1.0kPa-N)	D0(1.0kPa-N)_	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA		5887495.25	815.5774403	3525.654907	843.4353485	4783.964111	3761.105713	0.013852707	0.059883784	0.014325877	0.081256356	0.063882951			No_Urea_1.0kPa			1
