OTU,Sample,Abundance,ID,Type,Sites,Day,Treatment,Treatment1,Treatment2,sample_Order,Domain,Phylum,Proteobacteria
HM061888.1.1473,D0.13,1300,D0.13,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,04.d,Bacteria,p_Acidobacteria,1937
HM061888.1.1473,D0.14,1356,D0.14,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,05.d,Bacteria,p_Acidobacteria,2190
HM061888.1.1473,D0.15,1391,D0.15,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,06.d,Bacteria,p_Acidobacteria,2180
HM061888.1.1473,D7.13,1355,D7.13,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,07.d,Bacteria,p_Acidobacteria,2074
HM061888.1.1473,D7.14,1317,D7.14,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,08.d,Bacteria,p_Acidobacteria,2360
HM061888.1.1473,D7.15,1371,D7.15,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,09.d,Bacteria,p_Acidobacteria,2135
HM061888.1.1473,D21.16,1251,D21.16,16S rDNA,04.D21_10kPa ,21,No_Urea_10kPa,2. No urea,LM,10.d,Bacteria,p_Acidobacteria,2049
HM061888.1.1473,D63.13,1277,D63.13,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,11.d,Bacteria,p_Acidobacteria,2005
HM061888.1.1473,D63.14,1135,D63.14,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,12.d,Bacteria,p_Acidobacteria,1901
HM061888.1.1473,D63.15,1293,D63.15,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,13.d,Bacteria,p_Acidobacteria,1983
HM061888.1.1473,D0.09,1182,D0.09,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,14.d,Bacteria,p_Acidobacteria,1897
HM061888.1.1473,D0.10,1314,D0.10,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,15.d,Bacteria,p_Acidobacteria,2323
HM061888.1.1473,D0.11,1296,D0.11,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,16.d,Bacteria,p_Acidobacteria,2370
HM061888.1.1473,D7.09,1383,D7.09,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,17.d,Bacteria,p_Acidobacteria,1961
HM061888.1.1473,D7.10,1387,D7.10,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,18.d,Bacteria,p_Acidobacteria,2103
HM061888.1.1473,D7.11,1386,D7.11,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,19.d,Bacteria,p_Acidobacteria,2261
HM061888.1.1473,D21.09,1408,D21.09,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,20.d,Bacteria,p_Acidobacteria,2077
HM061888.1.1473,D21.10,1358,D21.10,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,21.d,Bacteria,p_Acidobacteria,2165
HM061888.1.1473,D21.11,1376,D21.11,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,22.d,Bacteria,p_Acidobacteria,2229
HM061888.1.1473,D63.09,1246,D63.09,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,23.d,Bacteria,p_Acidobacteria,2249
HM061888.1.1473,D63.10,1308,D63.10,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,24.d,Bacteria,p_Acidobacteria,2077
HM061888.1.1473,D63.11,1290,D63.11,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,25.d,Bacteria,p_Acidobacteria,1917
HM061888.1.1473,D0.05,1193,D0.05,16S rDNA,10.D0_10kPa_N,0,Urea_10kPa,1. urea,LM,26.d,Bacteria,p_Acidobacteria,1978
HM061888.1.1473,D0.07,1195,D0.07,16S rDNA,10.D0_10kPa_N,0,Urea_10kPa,1. urea,LM,27.d,Bacteria,p_Acidobacteria,2430
HM061888.1.1473,D0.08,1188,D0.08,16S rDNA,10.D0_10kPa_N,0,Urea_10kPa,1. urea,LM,28.d,Bacteria,p_Acidobacteria,1781
HM061888.1.1473,D7.08,506,D7.08,16S rDNA,11.D7_10kPa_N,7,Urea_10kPa,1. urea,LM,29.d,Bacteria,p_Acidobacteria,1596
HM061888.1.1473,D14.06,378,D14.06,16S rDNA,12.D14_10kPa_N,14,Urea_10kPa,1. urea,LM,30.d,Bacteria,p_Acidobacteria,2737
HM061888.1.1473,D14.07,386,D14.07,16S rDNA,12.D14_10kPa_N,14,Urea_10kPa,1. urea,LM,31.d,Bacteria,p_Acidobacteria,2539
HM061888.1.1473,D14.08,406,D14.08,16S rDNA,12.D14_10kPa_N,14,Urea_10kPa,1. urea,LM,32.d,Bacteria,p_Acidobacteria,2438
