OTU,Sample,Abundance,ID,Day,Type,Sites,Treatment,Treatment1,Treatment2,Group,Domain,Phylum,Class,Order,Family,Genus,Species,taxa_OTU,order_OTU
AY395326.1.1461,D0.08,84,D0.08,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.09,76,D0.09,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.05,74,D0.05,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.13,67,D0.13,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.14,62,D0.14,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.15,60,D0.15,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.02,56,D0.02,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.11,55,D0.11,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.07,54,D0.07,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.01,50,D0.01,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
